Anelloviridae.ea,Anelloviridae.nasal,Anelloviridae.pbmc,CMV.ea,CMV.nasal,CMV.pbmc,EBV.ea,EBV.nasal,EBV.pbmc,Enterovirus.nasal,Enterovirus.pbmc,HSV1.ea,HSV1.nasal,HSV2.nasal,SARS-CoV-2.ea,SARS-CoV-2.nasal,SARS-CoV-2.pbmc
100,38.46153846153847,76.92307692307693,7.6923076923076925,0,0,7.6923076923076925,0,15.384615384615385,0,0,23.076923076923077,7.6923076923076925,0,84.61538461538461,84.61538461538461,0
7.575757575757576,100,68.18181818181817,0,1.5151515151515151,1.5151515151515151,0,0,6.0606060606060606,4.545454545454546,0,1.5151515151515151,3.0303030303030303,0,13.636363636363635,81.81818181818183,0
2.3094688221709005,10.392609699769054,100,1.1547344110854503,1.8475750577367205,3.695150115473441,0.6928406466512702,3.233256351039261,17.090069284064665,3.695150115473441,0,3.695150115473441,4.849884526558892,0.6928406466512702,9.699769053117784,51.73210161662818,0.4618937644341801
7.6923076923076925,0,38.46153846153847,100,7.6923076923076925,38.46153846153847,30.76923076923077,7.6923076923076925,23.076923076923077,0,0,23.076923076923077,15.384615384615385,0,69.23076923076923,69.23076923076923,0
0,2.857142857142857,22.857142857142858,2.857142857142857,100,40,0,22.857142857142858,14.285714285714285,5.714285714285714,0,11.428571428571429,20,2.857142857142857,17.142857142857142,74.28571428571429,0
0,1.5384615384615385,24.615384615384617,7.6923076923076925,21.53846153846154,100,3.076923076923077,10.76923076923077,27.692307692307693,1.5384615384615385,0,13.846153846153847,13.846153846153847,6.153846153846154,16.923076923076923,50.76923076923077,0
7.6923076923076925,0,23.076923076923077,30.76923076923077,0,15.384615384615385,100,23.076923076923077,53.84615384615385,0,0,15.384615384615385,23.076923076923077,0,76.92307692307693,76.92307692307693,0
0,0,13.725490196078432,0.9803921568627451,7.8431372549019605,6.862745098039216,2.941176470588235,100,46.07843137254902,3.9215686274509802,0,3.9215686274509802,12.745098039215685,0,21.568627450980394,92.15686274509804,0
0.408997955010225,0.81799591002045,15.132924335378323,0.6134969325153374,1.0224948875255624,3.6809815950920246,1.4314928425357873,9.611451942740286,100,2.4539877300613497,0,2.8629856850715747,4.703476482617587,0.81799591002045,12.065439672801636,75.4601226993865,0.6134969325153374
0,2.2222222222222223,11.851851851851853,0,1.4814814814814816,0.7407407407407408,0,2.9629629629629632,8.88888888888889,100,0,1.4814814814814816,3.7037037037037033,0,2.2222222222222223,43.7037037037037,0
0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
3.225806451612903,1.0752688172043012,17.20430107526882,3.225806451612903,4.301075268817205,9.67741935483871,2.1505376344086025,4.301075268817205,15.053763440860216,2.1505376344086025,0,100,21.50537634408602,0,81.72043010752688,68.81720430107528,0
0.6711409395973155,1.342281879194631,14.093959731543624,1.342281879194631,4.697986577181208,6.0402684563758395,2.013422818791946,8.724832214765101,15.436241610738255,3.3557046979865772,0,13.422818791946309,100,0,19.463087248322147,86.57718120805369,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50,0,16.666666666666664,66.66666666666666,0,0,66.66666666666666,0,0,0,0,100,0,33.33333333333333,0
3.7162162162162162,3.040540540540541,14.18918918918919,3.040540540540541,2.027027027027027,3.7162162162162162,3.3783783783783785,7.4324324324324325,19.93243243243243,1.0135135135135136,0,25.675675675675674,9.797297297297296,0,100,76.01351351351352,0
0.467687074829932,2.295918367346939,9.523809523809524,0.3826530612244898,1.1054421768707483,1.403061224489796,0.4251700680272109,3.9965986394557826,15.688775510204081,2.508503401360544,0,2.7210884353741496,5.48469387755102,0.08503401360544217,9.566326530612244,100,0.3401360544217687
0,0,20,0,0,0,0,0,30,0,0,0,0,0,0,80,100
